Customer ID,1st Order Profit,Subsequent Order Profit,Subsequent Orders Count,Number of times visted,Total value of all promotions,Total Promotion Profit
1,9,5,1,2,7,8
2,8,70,7,8,7,71
3,14,51,7,8,0,65
4,14,0,0,1,0,14
5,23,68,9,10,15,76
6,4,34,3,4,2,36
7,10,0,0,1,1,10
8,24,49,8,9,0,72
9,14,71,5,6,0,84
10,12,9,1,2,4,17
11,17,96,8,9,10,102
12,15,13,2,3,5,24
13,12,30,3,4,1,41
15,13,37,4,5,1,49
16,20,99,6,7,15,103
17,5,0,0,1,0,4
18,8,6,3,4,11,4
19,12,27,4,5,0,38
20,11,0,0,1,3,8
21,10,29,3,4,22,16
22,10,29,4,5,0,39
23,4,0,0,1,0,4
24,14,148,14,15,25,137
25,11,45,6,7,41,15
26,2,0,0,1,0,2
27,2,0,0,1,0,2
28,3,101,10,11,0,104
29,13,178,10,11,0,192
30,27,92,6,7,10,109
31,13,11,1,2,0,23
32,24,89,8,9,9,105
33,8,24,2,3,0,32
34,12,77,8,9,10,80
35,2,40,5,6,12,30
36,15,24,2,3,0,39
37,6,0,0,1,2,4
39,10,31,5,6,11,30
40,1,0,0,1,0,1
41,20,36,4,5,0,56
42,12,45,4,5,4,52
43,2,0,0,1,0,1
44,2,37,6,7,0,39
45,5,128,16,17,0,133
46,16,109,11,12,24,102
47,4,0,0,1,2,2
48,13,70,6,7,15,69
49,8,0,0,1,1,7
50,2,55,9,10,2,55
51,17,105,13,14,0,121
52,7,48,12,13,0,56
53,1,21,3,4,0,22
54,6,124,7,8,69,61
55,11,42,6,7,3,50
56,5,78,10,11,26,57
57,27,0,0,1,8,19
58,30,88,7,8,12,106
59,2,73,7,8,0,74
60,11,0,0,1,4,7
61,31,52,3,4,20,62
62,13,129,12,13,21,121
63,7,42,3,4,0,49
65,6,89,7,8,0,95
66,10,0,0,1,0,10
67,9,0,0,1,0,9
68,6,20,6,7,4,23
69,25,124,14,15,10,139
70,6,0,0,1,2,4
71,1,0,0,1,0,1
72,2,0,0,1,0,1
73,5,0,0,1,4,2
74,3,0,0,1,0,3
75,7,0,0,1,1,6
76,5,0,0,1,0,5
77,5,0,0,1,1,4
78,3,0,0,1,0,2
79,5,0,0,1,1,4
80,5,47,7,8,0,52
81,7,51,5,6,19,40
82,3,33,6,7,3,33
83,1,0,0,1,1,1
84,8,9,1,2,15,2
85,12,0,0,1,3,8
86,5,32,17,18,0,37
87,12,0,0,1,0,12
88,13,65,7,8,0,78
89,9,26,1,2,0,35
90,2,0,0,1,0,1
91,17,13,2,3,8,22
92,6,0,0,1,1,5
93,8,43,5,6,29,22
94,10,38,5,6,25,23
95,25,71,7,8,32,63
96,4,41,4,5,6,39
97,10,0,0,1,4,6
98,32,104,9,10,5,131
99,15,0,0,1,4,11
100,16,10,2,3,4,22
101,9,15,3,4,4,20
102,6,28,5,6,3,32
103,2,0,0,1,0,2
104,17,149,17,18,39,127
105,18,0,0,1,0,18
106,1,113,13,14,34,81
107,4,0,0,1,2,1
108,19,67,10,11,1,85
109,2,35,5,6,0,36
110,2,28,2,3,5,25
111,12,111,6,7,13,110
112,12,60,9,10,0,72
113,1,14,1,2,6,10
114,17,51,8,9,8,59
115,10,16,1,2,3,23
116,7,0,0,1,0,7
117,6,0,0,1,3,3
118,10,134,10,11,24,119
119,3,17,3,4,1,20
120,12,0,0,1,2,9
121,5,30,2,3,0,35
122,9,0,0,1,1,8
123,3,191,14,15,1,193
124,3,118,10,11,145,-25
126,15,0,0,1,0,15
127,4,0,0,1,0,4
128,2,0,0,1,0,2
129,14,18,1,2,3,29
130,14,21,2,3,12,23
131,15,0,0,1,4,11
132,3,70,6,7,4,69
133,12,6,1,2,2,16
134,12,0,0,1,0,12
135,20,0,0,1,9,11
136,9,14,6,7,11,12
137,2,0,0,1,0,2
138,8,54,5,6,19,44
139,2,58,5,6,10,50
